Sentence,Labels,POS,Words
যে পড়াশোনা করবে সুতরাং জ্ঞানী,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ']","['যে', 'পড়াশোনা', 'করবে', 'সুতরাং', 'জ্ঞানী']"
ভোরে উঠবে এবং ভ্রমন করবে,Compound,"['অব্যয়', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['ভোরে', 'উঠবে', 'এবং', 'ভ্রমন', 'করবে']"
বয়সে ছোট কিন্তু তার বুদ্ধি প্রখর,Compound,"['বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ']","['বয়সে', 'ছোট', 'কিন্তু', 'তার', 'বুদ্ধি', 'প্রখর']"
টিভি দেখবে কিন্তু বেশিক্ষণ নই,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['টিভি', 'দেখবে', 'কিন্তু', 'বেশিক্ষণ', 'নই']"
বাড়ি যাব এবং ভাত খাব,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['বাড়ি', 'যাব', 'এবং', 'ভাত', 'খাব']"
যে ভোরে উঠবে সেই ভ্রমন করবে,Complex,"['সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যে', 'ভোরে', 'উঠবে', 'সেই', 'ভ্রমন', 'করবে']"
যদিও সে বয়সে ছোট তবু তার বুদ্ধি প্রখর,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ']","['যদিও', 'সে', 'বয়সে', 'ছোট', 'তবু', 'তার', 'বুদ্ধি', 'প্রখর']"
যদিও টিভে দেখো তবে বেশিক্ষণ নই,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া']","['যদিও', 'টিভে', 'দেখো', 'তবে', 'বেশিক্ষণ', 'নই']"
যখন বাড়ি যাবো তখন ভাত খাবো,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'বাড়ি', 'যাবো', 'তখন', 'ভাত', 'খাবো']"
জোরে না বললে কেউ শুনতে পাবে না,Simple,"['অব্যয়', 'অব্যয়', 'ক্রিয়া', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['জোরে', 'না', 'বললে', 'কেউ', 'শুনতে', 'পাবে', 'না']"
সন্ধ্যা হলে বাড়ি ফিরব,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া']","['সন্ধ্যা', 'হলে', 'বাড়ি', 'ফিরব']"
স্টেশনে এলেই ট্রেনটা ছেড়ে দিল,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['স্টেশনে', 'এলেই', 'ট্রেনটা', 'ছেড়ে', 'দিল']"
সূর্য উঠলে কুয়াশা দূর হয়,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['সূর্য', 'উঠলে', 'কুয়াশা', 'দূর', 'হয়']"
যেতে পারলেও কেন যাব,Simple,"['ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া']","['যেতে', 'পারলেও', 'কেন', 'যাব']"
মুষলধারে বৃষ্টি হচ্ছে বলে রাস্তায় জল জমবে,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['মুষলধারে', 'বৃষ্টি', 'হচ্ছে', 'বলে', 'রাস্তায়', 'জল', 'জমবে']"
বর্ষাকালে মেঘের দেখা নেই,Simple,"['বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['বর্ষাকালে', 'মেঘের', 'দেখা', 'নেই']"
জোরে বলো নাহলে কেউ শুনতে পাবে না,Compound,"['অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['জোরে', 'বলো', 'নাহলে', 'কেউ', 'শুনতে', 'পাবে', 'না']"
সন্ধ্যা হবে এবং ফিরব,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া']","['সন্ধ্যা', 'হবে', 'এবং', 'ফিরব']"
স্টেশন এলাম আর ট্রেনটা ছেড়ে দিল,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['স্টেশন', 'এলাম', 'আর', 'ট্রেনটা', 'ছেড়ে', 'দিল']"
সূর্য ওঠে এবং কুয়াশা দূর হয়,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['সূর্য', 'ওঠে', 'এবং', 'কুয়াশা', 'দূর', 'হয়']"
যেতে পারি কিন্তু কেন যাব,Compound,"['ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'ক্রিয়া']","['যেতে', 'পারি', 'কিন্তু', 'কেন', 'যাব']"
মুষলধারে বৃষ্টি হচ্ছে তাই রাস্তায় জল জমবে,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['মুষলধারে', 'বৃষ্টি', 'হচ্ছে', 'তাই', 'রাস্তায়', 'জল', 'জমবে']"
বর্ষাকাল কিন্তু মেঘের দেখা নেই,Compound,"['বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['বর্ষাকাল', 'কিন্তু', 'মেঘের', 'দেখা', 'নেই']"
যদি জোরে না বলো তবে কেউ শুনতে পাবে না,Complex,"['অব্যয়', 'অব্যয়', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['যদি', 'জোরে', 'না', 'বলো', 'তবে', 'কেউ', 'শুনতে', 'পাবে', 'না']"
যখন সন্ধ্যা হবে তখন ফিরব,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'ক্রিয়া']","['যখন', 'সন্ধ্যা', 'হবে', 'তখন', 'ফিরব']"
যখন স্টেশন এলাম তখন ট্রেনটা ছেড়ে দিল,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'স্টেশন', 'এলাম', 'তখন', 'ট্রেনটা', 'ছেড়ে', 'দিল']"
যখন সূর্য ওঠে তখন কুয়াশা দূর হয়,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'সূর্য', 'ওঠে', 'তখন', 'কুয়াশা', 'দূর', 'হয়']"
যেহেতু যেতে পারি সেহেতু কেন যাব,Complex,"['অব্যয়', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'ক্রিয়া']","['যেহেতু', 'যেতে', 'পারি', 'সেহেতু', 'কেন', 'যাব']"
যেহেতু মুষলধারে বৃষ্টি হচ্ছে সেহেতু রাস্তায় জল জমবে,Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['যেহেতু', 'মুষলধারে', 'বৃষ্টি', 'হচ্ছে', 'সেহেতু', 'রাস্তায়', 'জল', 'জমবে']"
যদিও বর্ষাকাল তবুও মেঘের দেখা নেই,Complex,"['অব্যয়', 'বিশেষ্য', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['যদিও', 'বর্ষাকাল', 'তবুও', 'মেঘের', 'দেখা', 'নেই']"
দিলে নিতে হবে,Simple,"['ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['দিলে', 'নিতে', 'হবে']"
বৃষ্টি হলে ব্যাঙের ডাক শুরু হয়,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['বৃষ্টি', 'হলে', 'ব্যাঙের', 'ডাক', 'শুরু', 'হয়']"
এই জঙ্গলে মানুষ বাস করে,Simple,"['সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['এই', 'জঙ্গলে', 'মানুষ', 'বাস', 'করে']"
সে পড়াশোনা করে বলেই সকলে তাকে ভালোবাসে,Simple,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া']","['সে', 'পড়াশোনা', 'করে', 'বলেই', 'সকলে', 'তাকে', 'ভালোবাসে']"
রোদ উঠলে খেলতে হবে,Simple,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['রোদ', 'উঠলে', 'খেলতে', 'হবে']"
কাদামাখানো রাস্তাটি চওড়া,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষণ']","['কাদামাখানো', 'রাস্তাটি', 'চওড়া']"
রাত হলে বাইরে যেও না,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['রাত', 'হলে', 'বাইরে', 'যেও', 'না']"
সরল লোকটি জ্ঞানী,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষণ']","['সরল', 'লোকটি', 'জ্ঞানী']"
দেবে এবং নেবে,Compound,"['ক্রিয়া', 'অব্যয়', 'ক্রিয়া']","['দেবে', 'এবং', 'নেবে']"
বৃষ্টি এল এবং ব্যাঙের ডাক শুরু হল,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['বৃষ্টি', 'এল', 'এবং', 'ব্যাঙের', 'ডাক', 'শুরু', 'হল']"
